customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_total,rfm_segment
CUST_000032,522,2,1568.71,1,1,1,3,Lost
CUST_000033,56,10,4770.76,2,4,2,8,Cannot Lose Them
CUST_000034,36,10,10181.65,3,4,5,12,Loyal Customers
CUST_000035,14,11,8416.28,4,4,4,12,Loyal Customers
CUST_000036,141,7,7978.24,1,2,4,7,Cannot Lose Them
CUST_000037,45,9,9430.02,3,3,4,10,Loyal Customers
CUST_000038,53,16,15604.29,3,5,5,13,Champions
CUST_000039,25,10,10694.82,4,4,5,13,Champions
CUST_000040,78,8,9400.240000000002,2,2,4,8,Cannot Lose Them
CUST_000041,28,4,3258.46,4,1,1,6,Promising
CUST_000042,75,11,7216.22,2,4,3,9,At Risk
CUST_000043,70,7,5760.99,2,2,2,6,Lost
CUST_000044,61,13,14504.21,2,5,5,12,At Risk
CUST_000045,80,10,8852.37,2,4,4,10,At Risk
CUST_000046,19,10,5204.1900000000005,4,4,2,10,Loyal Customers
CUST_000047,22,9,7681.56,4,3,4,11,Loyal Customers
CUST_000048,99,4,1815.29,1,1,1,3,Lost
CUST_000049,153,8,10370.94,1,2,5,8,Cannot Lose Them
CUST_000050,7,7,10670.15,5,2,5,12,Loyal Customers
CUST_000051,153,9,10375.04,1,3,5,9,At Risk
CUST_000052,31,8,4518.83,3,2,2,7,Promising
CUST_000053,1,8,2970.53,5,2,1,8,Promising
CUST_000054,64,8,8801.27,2,2,4,8,Cannot Lose Them
CUST_000055,70,13,11563.89,2,5,5,12,At Risk
CUST_000056,96,12,11501.76,1,5,5,11,At Risk
CUST_000057,64,6,3031.06,2,1,1,4,Lost
CUST_000058,25,11,8559.2,4,4,4,12,Loyal Customers
CUST_000059,3,6,3889.98,5,1,1,7,New Customers
CUST_000060,21,14,10155.97,4,5,5,14,Champions
CUST_000061,3,3,620.68,5,1,1,7,New Customers
CUST_000062,90,10,6505.65,2,4,3,9,At Risk
CUST_000063,5,10,6542.49,5,4,3,12,Loyal Customers
CUST_000064,15,10,7852.6900000000005,4,4,4,12,Loyal Customers
CUST_000065,118,7,2692.84,1,2,1,4,Lost
CUST_000066,144,12,5351.46,1,5,2,8,Cannot Lose Them
CUST_000067,33,11,11938.119999999999,3,4,5,12,Loyal Customers
CUST_000068,31,7,7873.46,3,2,4,9,Promising
CUST_000069,72,15,7817.68,2,5,4,11,At Risk
CUST_000070,210,6,5607.91,1,1,2,4,Lost
CUST_000071,68,9,7909.72,2,3,4,9,At Risk
CUST_000072,567,3,1162.79,1,1,1,3,Lost
CUST_000073,16,7,3822.13,4,2,1,7,Promising
CUST_000074,28,9,3328.94,4,3,1,8,Need Attention
CUST_000075,0,9,4486.77,5,3,2,10,Loyal Customers
CUST_000076,40,8,6955.33,3,2,3,8,Promising
CUST_000077,0,15,14131.47,5,5,5,15,Champions
CUST_000078,15,6,5972.96,4,1,3,8,Promising
CUST_000079,63,6,4834.13,2,1,2,5,Lost
CUST_000080,35,8,12537.55,3,2,5,10,Loyal Customers
CUST_000081,38,9,3173.69,3,3,1,7,Need Attention
CUST_000082,108,9,9128.81,1,3,4,8,Cannot Lose Them
CUST_000083,121,7,5868.97,1,2,3,6,Lost
CUST_000084,6,15,9372.05,5,5,4,14,Champions
CUST_000085,13,9,8132.51,5,3,4,12,Loyal Customers
CUST_000086,21,5,7256.46,4,1,3,8,Promising
CUST_000087,154,4,6841.08,1,1,3,5,Lost
CUST_000088,66,7,3910.3,2,2,1,5,Lost
CUST_000089,73,9,11913.25,2,3,5,10,At Risk
CUST_000090,135,13,9750.28,1,5,4,10,At Risk
CUST_000091,18,12,7477.5599999999995,4,5,3,12,Loyal Customers
CUST_000092,175,8,7100.51,1,2,3,6,Lost
CUST_000093,185,9,3213.0099999999998,1,3,1,5,Lost
CUST_000094,248,5,2538.71,1,1,1,3,Lost
CUST_000095,38,10,7181.27,3,4,3,10,Loyal Customers
CUST_000096,103,9,9860.9,1,3,4,8,Cannot Lose Them
CUST_000097,37,10,6631.0,3,4,3,10,Loyal Customers
CUST_000098,4,10,7856.969999999999,5,4,4,13,Champions
CUST_000099,33,9,8279.38,3,3,4,10,Loyal Customers
CUST_000100,11,8,2943.57,5,2,1,8,Promising
CUST_000101,25,9,7814.610000000001,4,3,4,11,Loyal Customers
CUST_000102,45,5,2421.15,3,1,1,5,Promising
CUST_000103,37,9,4239.95,3,3,2,8,Need Attention
CUST_000104,37,12,9990.1,3,5,4,12,Loyal Customers
CUST_000105,32,9,5553.92,3,3,2,8,Need Attention
CUST_000106,131,6,1597.29,1,1,1,3,Lost
CUST_000107,32,11,8657.34,3,4,4,11,Loyal Customers
CUST_000108,59,6,4324.77,2,1,2,5,Lost
CUST_000109,9,12,16209.06,5,5,5,15,Champions
CUST_000110,36,8,4543.04,3,2,2,7,Promising
CUST_000111,167,6,4498.9400000000005,1,1,2,4,Lost
CUST_000112,48,4,5107.89,3,1,2,6,Promising
CUST_000113,43,10,9929.32,3,4,4,11,Loyal Customers
CUST_000114,7,11,7841.22,5,4,4,13,Champions
CUST_000115,25,8,8308.46,4,2,4,10,Loyal Customers
CUST_000116,7,6,6196.04,5,1,3,9,Potential Loyalists
CUST_000117,10,8,7559.58,5,2,3,10,Loyal Customers
CUST_000118,22,8,5323.1,4,2,2,8,Promising
CUST_000119,283,2,640.02,1,1,1,3,Lost
CUST_000120,80,6,9726.02,2,1,4,7,Cannot Lose Them
CUST_000121,51,10,5026.43,3,4,2,9,Need Attention
CUST_000122,2,9,5435.6900000000005,5,3,2,10,Loyal Customers
CUST_000123,37,11,11983.85,3,4,5,12,Loyal Customers
CUST_000124,7,14,10792.720000000001,5,5,5,15,Champions
CUST_000125,30,9,6814.85,4,3,3,10,Loyal Customers
CUST_000126,32,9,6334.96,3,3,3,9,Need Attention
CUST_000127,238,4,1514.66,1,1,1,3,Lost
CUST_000128,175,9,4675.12,1,3,2,6,Lost
CUST_000129,0,9,7012.8,5,3,3,11,Loyal Customers
CUST_000130,5,13,11781.28,5,5,5,15,Champions
CUST_000131,11,11,2377.69,5,4,1,10,Loyal Customers
CUST_000132,90,6,6650.9400000000005,2,1,3,6,Lost
CUST_000133,24,13,8821.710000000001,4,5,4,13,Champions
CUST_000134,4,8,7758.2699999999995,5,2,4,11,Loyal Customers
CUST_000135,2,6,8292.73,5,1,4,10,Loyal Customers
CUST_000136,61,7,5168.88,2,2,2,6,Lost
CUST_000137,35,7,4857.76,3,2,2,7,Promising
CUST_000138,11,10,12181.990000000002,5,4,5,14,Champions
CUST_000139,82,7,6980.83,2,2,3,7,Cannot Lose Them
CUST_000140,101,10,9230.94,1,4,4,9,At Risk
CUST_000141,36,9,6221.400000000001,3,3,3,9,Need Attention
CUST_000142,71,6,3092.1,2,1,1,4,Lost
CUST_000143,29,10,6398.39,4,4,3,11,Loyal Customers
CUST_000144,25,13,8807.39,4,5,4,13,Champions
CUST_000145,79,8,6407.99,2,2,3,7,Cannot Lose Them
CUST_000146,83,5,4050.79,2,1,2,5,Lost
CUST_000147,51,6,3164.15,3,1,1,5,Promising
CUST_000148,23,9,7082.51,4,3,3,10,Loyal Customers
CUST_000149,72,13,17063.74,2,5,5,12,At Risk
CUST_000150,38,11,6762.849999999999,3,4,3,10,Loyal Customers
CUST_000151,10,7,2511.33,5,2,1,8,Promising
CUST_000152,30,12,14552.69,4,5,5,14,Champions
CUST_000153,3,9,11423.97,5,3,5,13,Champions
CUST_000154,3,9,15820.8,5,3,5,13,Champions
CUST_000155,2,11,13534.28,5,4,5,14,Champions
CUST_000156,17,10,6402.55,4,4,3,11,Loyal Customers
CUST_000157,18,6,5685.179999999999,4,1,2,7,Promising
CUST_000158,19,8,4400.95,4,2,2,8,Promising
CUST_000159,40,8,7276.450000000001,3,2,3,8,Promising
CUST_000160,20,6,7065.530000000001,4,1,3,8,Promising
CUST_000161,9,13,11172.78,5,5,5,15,Champions
CUST_000162,88,7,7634.25,2,2,3,7,Cannot Lose Them
CUST_000163,22,10,6243.26,4,4,3,11,Loyal Customers
CUST_000164,56,11,6213.02,2,4,3,9,At Risk
CUST_000165,15,9,9320.57,4,3,4,11,Loyal Customers
CUST_000166,34,13,15271.710000000001,3,5,5,13,Champions
CUST_000167,75,12,11087.630000000001,2,5,5,12,At Risk
CUST_000168,103,9,6089.37,1,3,3,7,Cannot Lose Them
CUST_000169,2,13,9039.67,5,5,4,14,Champions
CUST_000170,16,8,9577.23,4,2,4,10,Loyal Customers
CUST_000171,114,14,14960.65,1,5,5,11,At Risk
CUST_000172,2,9,10441.2,5,3,5,13,Champions
CUST_000173,354,5,3070.1000000000004,1,1,1,3,Lost
CUST_000174,34,15,13309.01,3,5,5,13,Champions
CUST_000175,60,9,8045.17,2,3,4,9,At Risk
CUST_000176,59,2,4949.28,2,1,2,5,Lost
CUST_000177,183,3,4451.72,1,1,2,4,Lost
CUST_000178,152,7,6865.66,1,2,3,6,Lost
CUST_000179,159,8,7984.98,1,2,4,7,Cannot Lose Them
CUST_000180,108,6,7611.39,1,1,3,5,Lost
CUST_000181,5,9,8802.73,5,3,4,12,Loyal Customers
CUST_000182,22,12,8606.48,4,5,4,13,Champions
CUST_000183,158,6,6950.87,1,1,3,5,Lost
CUST_000184,2,8,7509.34,5,2,3,10,Loyal Customers
CUST_000185,22,8,4412.28,4,2,2,8,Promising
CUST_000186,73,8,5299.79,2,2,2,6,Lost
CUST_000187,42,8,6607.75,3,2,3,8,Promising
CUST_000188,50,14,13543.58,3,5,5,13,Champions
CUST_000189,55,9,6512.16,2,3,3,8,Cannot Lose Them
CUST_000190,8,17,16644.3,5,5,5,15,Champions
CUST_000191,22,7,8959.710000000001,4,2,4,10,Loyal Customers
CUST_000192,62,13,6827.53,2,5,3,10,At Risk
CUST_000193,138,7,4395.39,1,2,2,5,Lost
CUST_000194,67,10,11595.15,2,4,5,11,At Risk
CUST_000195,43,9,7138.48,3,3,3,9,Need Attention
CUST_000196,62,6,6039.24,2,1,3,6,Lost
CUST_000197,17,8,11920.35,4,2,5,11,Loyal Customers
CUST_000198,106,9,9838.28,1,3,4,8,Cannot Lose Them
CUST_000199,193,4,2392.87,1,1,1,3,Lost
CUST_000200,79,10,5012.74,2,4,2,8,Cannot Lose Them
CUST_000201,7,4,3621.6299999999997,5,1,1,7,New Customers
CUST_000202,135,8,6683.45,1,2,3,6,Lost
CUST_000203,8,8,8443.16,5,2,4,11,Loyal Customers
CUST_000204,19,7,9005.73,4,2,4,10,Loyal Customers
CUST_000205,27,7,5509.03,4,2,2,8,Promising
CUST_000206,5,9,9304.99,5,3,4,12,Loyal Customers
CUST_000207,27,7,7767.9,4,2,4,10,Loyal Customers
CUST_000208,26,5,2385.9100000000003,4,1,1,6,Promising
CUST_000209,366,3,3370.68,1,1,1,3,Lost
CUST_000210,25,8,3486.6800000000003,4,2,1,7,Promising
CUST_000211,39,4,1953.42,3,1,1,5,Promising
CUST_000212,6,9,10330.1,5,3,5,13,Champions
CUST_000213,101,11,6723.24,1,4,3,8,Cannot Lose Them
CUST_000214,11,9,5847.32,5,3,2,10,Loyal Customers
CUST_000215,137,5,2988.51,1,1,1,3,Lost
CUST_000216,60,13,17329.87,2,5,5,12,At Risk
CUST_000217,27,13,9485.81,4,5,4,13,Champions
CUST_000218,36,6,4144.59,3,1,2,6,Promising
CUST_000219,67,7,5570.46,2,2,2,6,Lost
CUST_000220,23,8,9255.66,4,2,4,10,Loyal Customers
CUST_000221,10,4,2058.77,5,1,1,7,New Customers
CUST_000222,10,8,5877.03,5,2,3,10,Loyal Customers
CUST_000223,50,10,3945.3799999999997,3,4,1,8,Need Attention
CUST_000224,37,12,12337.45,3,5,5,13,Champions
CUST_000225,57,8,6491.17,2,2,3,7,Cannot Lose Them
CUST_000226,145,2,602.51,1,1,1,3,Lost
CUST_000227,2,12,9791.130000000001,5,5,4,14,Champions
CUST_000228,12,13,7961.98,5,5,4,14,Champions
CUST_000229,22,7,6622.31,4,2,3,9,Potential Loyalists
CUST_000230,71,12,4411.41,2,5,2,9,At Risk
CUST_000231,35,9,3389.25,3,3,1,7,Need Attention
CUST_000232,9,10,9148.38,5,4,4,13,Champions
CUST_000233,55,6,2205.05,2,1,1,4,Lost
CUST_000234,211,6,4182.45,1,1,2,4,Lost
CUST_000235,7,10,8501.64,5,4,4,13,Champions
CUST_000236,30,14,10385.95,4,5,5,14,Champions
CUST_000237,27,4,2834.8,4,1,1,6,Promising
CUST_000239,32,8,2769.26,3,2,1,6,Promising
CUST_000240,247,3,5948.88,1,1,3,5,Lost
CUST_000241,21,10,7457.360000000001,4,4,3,11,Loyal Customers
CUST_000242,37,10,11384.89,3,4,5,12,Loyal Customers
CUST_000243,59,12,8506.42,2,5,4,11,At Risk
CUST_000244,50,10,13427.07,3,4,5,12,Loyal Customers
CUST_000245,60,5,6872.16,2,1,3,6,Lost
CUST_000246,1,13,5236.25,5,5,2,12,Loyal Customers
CUST_000247,23,5,6885.28,4,1,3,8,Promising
CUST_000248,7,7,4777.74,5,2,2,9,Potential Loyalists
CUST_000249,30,11,3676.34,4,4,1,9,Potential Loyalists
CUST_000250,33,7,5029.160000000001,3,2,2,7,Promising
CUST_000251,70,9,11337.39,2,3,5,10,At Risk
CUST_000252,11,10,7154.929999999999,5,4,3,12,Loyal Customers
CUST_000253,73,6,5310.71,2,1,2,5,Lost
CUST_000254,22,4,2140.98,4,1,1,6,Promising
CUST_000255,31,10,7526.83,3,4,3,10,Loyal Customers
CUST_000256,9,9,13323.17,5,3,5,13,Champions
CUST_000257,33,13,8864.93,3,5,4,12,Loyal Customers
CUST_000258,47,10,6005.88,3,4,3,10,Loyal Customers
CUST_000259,44,13,9859.35,3,5,4,12,Loyal Customers
CUST_000260,3,7,5316.99,5,2,2,9,Potential Loyalists
CUST_000261,29,5,2977.89,4,1,1,6,Promising
CUST_000262,10,7,6365.34,5,2,3,10,Loyal Customers
CUST_000263,34,13,10841.66,3,5,5,13,Champions
CUST_000264,112,6,5465.6,1,1,2,4,Lost
CUST_000265,6,12,7081.94,5,5,3,13,Champions
CUST_000266,92,8,7962.860000000001,2,2,4,8,Cannot Lose Them
CUST_000267,56,6,4557.9,2,1,2,5,Lost
CUST_000268,75,13,6472.3,2,5,3,10,At Risk
CUST_000269,68,13,7182.34,2,5,3,10,At Risk
CUST_000270,19,8,5297.08,4,2,2,8,Promising
CUST_000271,55,10,11299.15,2,4,5,11,At Risk
CUST_000272,97,9,3979.57,1,3,1,5,Lost
CUST_000273,1,8,4753.68,5,2,2,9,Potential Loyalists
CUST_000274,117,6,6132.44,1,1,3,5,Lost
CUST_000275,55,7,3334.96,2,2,1,5,Lost
CUST_000276,81,4,6729.4400000000005,2,1,3,6,Lost
CUST_000277,41,7,4838.28,3,2,2,7,Promising
CUST_000278,76,8,8436.369999999999,2,2,4,8,Cannot Lose Them
CUST_000279,93,9,7765.42,2,3,4,9,At Risk
CUST_000280,21,8,8668.63,4,2,4,10,Loyal Customers
CUST_000281,65,11,12917.78,2,4,5,11,At Risk
CUST_000282,24,9,6522.02,4,3,3,10,Loyal Customers
CUST_000283,39,9,4294.889999999999,3,3,2,8,Need Attention
CUST_000284,67,7,5873.89,2,2,3,7,Cannot Lose Them
CUST_000285,4,10,17982.96,5,4,5,14,Champions
CUST_000286,5,8,6893.96,5,2,3,10,Loyal Customers
CUST_000287,10,6,4647.83,5,1,2,8,Promising
CUST_000288,33,9,8140.45,3,3,4,10,Loyal Customers
CUST_000289,98,5,2678.67,1,1,1,3,Lost
CUST_000290,82,6,14428.33,2,1,5,8,Cannot Lose Them
CUST_000291,29,10,13208.52,4,4,5,13,Champions
CUST_000292,15,10,6041.099999999999,4,4,3,11,Loyal Customers
CUST_000293,128,8,16013.17,1,2,5,8,Cannot Lose Them
CUST_000294,2,11,5664.37,5,4,2,11,Loyal Customers
CUST_000295,46,6,3208.4700000000003,3,1,1,5,Promising
CUST_000296,5,7,7229.4800000000005,5,2,3,10,Loyal Customers
CUST_000297,35,8,6282.0,3,2,3,8,Promising
CUST_000298,265,6,4424.08,1,1,2,4,Lost
CUST_000299,111,8,5212.11,1,2,2,5,Lost
CUST_000300,8,9,5490.93,5,3,2,10,Loyal Customers
CUST_000301,61,8,7632.98,2,2,3,7,Cannot Lose Them
CUST_000302,60,9,3824.6499999999996,2,3,1,6,Lost
CUST_000303,8,11,5775.05,5,4,2,11,Loyal Customers
CUST_000304,6,13,9605.51,5,5,4,14,Champions
CUST_000305,120,9,10581.07,1,3,5,9,At Risk
CUST_000306,22,12,11648.83,4,5,5,14,Champions
CUST_000307,13,6,1553.45,5,1,1,7,New Customers
CUST_000308,155,8,6710.97,1,2,3,6,Lost
CUST_000309,68,7,8200.89,2,2,4,8,Cannot Lose Them
CUST_000310,81,7,7908.61,2,2,4,8,Cannot Lose Them
CUST_000311,27,13,16218.400000000001,4,5,5,14,Champions
CUST_000312,78,6,3555.29,2,1,1,4,Lost
CUST_000313,64,10,7419.7699999999995,2,4,3,9,At Risk
CUST_000314,235,3,2203.07,1,1,1,3,Lost
CUST_000315,31,11,9573.35,3,4,4,11,Loyal Customers
CUST_000316,48,5,6032.53,3,1,3,7,Promising
CUST_000317,21,11,8075.18,4,4,4,12,Loyal Customers
CUST_000318,4,10,15762.62,5,4,5,14,Champions
CUST_000319,8,8,10439.79,5,2,5,12,Loyal Customers
CUST_000320,53,4,1775.35,3,1,1,5,Promising
CUST_000321,147,5,7282.639999999999,1,1,3,5,Lost
CUST_000322,9,11,4903.96,5,4,2,11,Loyal Customers
CUST_000323,51,11,10014.36,3,4,4,11,Loyal Customers
CUST_000324,227,4,1794.36,1,1,1,3,Lost
CUST_000325,99,10,6814.97,1,4,3,8,Cannot Lose Them
CUST_000326,32,6,9795.52,3,1,4,8,Promising
CUST_000327,31,7,4827.12,3,2,2,7,Promising
CUST_000328,70,11,8961.47,2,4,4,10,At Risk
CUST_000329,48,11,3366.77,3,4,1,8,Need Attention
CUST_000330,45,4,6726.86,3,1,3,7,Promising
CUST_000331,43,8,9395.460000000001,3,2,4,9,Promising
CUST_000332,43,13,14423.84,3,5,5,13,Champions
CUST_000333,59,10,9754.4,2,4,4,10,At Risk
CUST_000334,7,15,10658.32,5,5,5,15,Champions
CUST_000335,38,9,8078.7,3,3,4,10,Loyal Customers
CUST_000336,28,10,10019.54,4,4,4,12,Loyal Customers
CUST_000337,121,11,15472.62,1,4,5,10,At Risk
CUST_000338,111,6,4778.54,1,1,2,4,Lost
CUST_000339,57,5,5665.15,2,1,2,5,Lost
CUST_000340,151,8,4793.1,1,2,2,5,Lost
CUST_000341,36,7,3180.43,3,2,1,6,Promising
CUST_000342,2,5,2472.15,5,1,1,7,New Customers
CUST_000343,45,6,2540.21,3,1,1,5,Promising
CUST_000344,41,8,5523.78,3,2,2,7,Promising
CUST_000345,43,10,3549.17,3,4,1,8,Need Attention
CUST_000346,17,8,9553.1,4,2,4,10,Loyal Customers
CUST_000347,72,2,1574.59,2,1,1,4,Lost
CUST_000348,219,6,3837.17,1,1,1,3,Lost
CUST_000349,10,7,5810.44,5,2,2,9,Potential Loyalists
CUST_000350,70,4,4261.2699999999995,2,1,2,5,Lost
CUST_000351,39,10,12038.380000000001,3,4,5,12,Loyal Customers
CUST_000352,3,9,10439.94,5,3,5,13,Champions
CUST_000353,8,11,11136.61,5,4,5,14,Champions
CUST_000354,16,9,10570.98,4,3,5,12,Loyal Customers
CUST_000355,56,9,7121.570000000001,2,3,3,8,Cannot Lose Them
CUST_000356,215,7,3850.42,1,2,1,4,Lost
CUST_000357,5,8,6428.950000000001,5,2,3,10,Loyal Customers
CUST_000358,67,13,6116.68,2,5,3,10,At Risk
CUST_000359,93,7,2009.0900000000001,2,2,1,5,Lost
CUST_000360,11,7,7184.42,5,2,3,10,Loyal Customers
CUST_000361,7,8,7112.79,5,2,3,10,Loyal Customers
CUST_000362,103,11,7647.83,1,4,3,8,Cannot Lose Them
CUST_000363,175,9,6107.52,1,3,3,7,Cannot Lose Them
CUST_000364,0,8,10053.56,5,2,4,11,Loyal Customers
CUST_000365,83,8,6522.2699999999995,2,2,3,7,Cannot Lose Them
CUST_000366,2,8,6889.25,5,2,3,10,Loyal Customers
CUST_000367,34,13,9203.38,3,5,4,12,Loyal Customers
CUST_000368,4,11,13536.11,5,4,5,14,Champions
CUST_000369,29,8,7006.28,4,2,3,9,Potential Loyalists
CUST_000370,53,5,4437.47,3,1,2,6,Promising
CUST_000371,192,7,3522.02,1,2,1,4,Lost
CUST_000372,9,4,1633.17,5,1,1,7,New Customers
CUST_000373,120,13,11727.12,1,5,5,11,At Risk
CUST_000374,26,13,10695.43,4,5,5,14,Champions
CUST_000375,8,11,8619.89,5,4,4,13,Champions
CUST_000376,3,7,6182.360000000001,5,2,3,10,Loyal Customers
CUST_000377,81,17,14431.84,2,5,5,12,At Risk
CUST_000378,1,9,2345.71,5,3,1,9,Potential Loyalists
CUST_000379,220,5,2062.94,1,1,1,3,Lost
CUST_000380,29,8,10604.81,4,2,5,11,Loyal Customers
CUST_000381,5,7,4129.0,5,2,2,9,Potential Loyalists
CUST_000382,33,13,6426.4800000000005,3,5,3,11,Loyal Customers
CUST_000383,13,8,12395.85,5,2,5,12,Loyal Customers
CUST_000384,15,8,8987.57,4,2,4,10,Loyal Customers
CUST_000385,17,12,9288.78,4,5,4,13,Champions
CUST_000386,81,7,6365.91,2,2,3,7,Cannot Lose Them
CUST_000387,62,14,12016.11,2,5,5,12,At Risk
CUST_000388,11,8,8981.4,5,2,4,11,Loyal Customers
CUST_000389,8,6,1316.06,5,1,1,7,New Customers
CUST_000390,46,12,8125.24,3,5,4,12,Loyal Customers
CUST_000391,63,6,5142.61,2,1,2,5,Lost
CUST_000392,80,9,12853.03,2,3,5,10,At Risk
CUST_000393,78,5,4323.1,2,1,2,5,Lost
CUST_000394,24,10,10602.4,4,4,5,13,Champions
CUST_000395,188,7,5135.71,1,2,2,5,Lost
CUST_000396,53,8,4365.38,3,2,2,7,Promising
CUST_000397,268,5,8509.44,1,1,4,6,Lost
CUST_000398,16,8,5905.71,4,2,3,9,Potential Loyalists
CUST_000399,7,9,11571.16,5,3,5,13,Champions
CUST_000400,121,5,6642.33,1,1,3,5,Lost
CUST_000401,42,11,8965.279999999999,3,4,4,11,Loyal Customers
CUST_000402,109,2,1437.01,1,1,1,3,Lost
CUST_000403,46,10,4802.08,3,4,2,9,Need Attention
CUST_000404,51,9,5779.55,3,3,2,8,Need Attention
CUST_000405,1,6,6419.0,5,1,3,9,Potential Loyalists
CUST_000406,52,5,4602.7,3,1,2,6,Promising
CUST_000407,33,9,5023.6,3,3,2,8,Need Attention
CUST_000408,201,4,2915.2299999999996,1,1,1,3,Lost
CUST_000409,69,10,8788.0,2,4,4,10,At Risk
CUST_000410,41,13,9079.8,3,5,4,12,Loyal Customers
CUST_000411,4,6,6635.030000000001,5,1,3,9,Potential Loyalists
CUST_000412,11,9,10830.25,5,3,5,13,Champions
CUST_000413,184,4,1224.43,1,1,1,3,Lost
CUST_000414,129,7,5776.8099999999995,1,2,2,5,Lost
CUST_000415,40,5,3544.87,3,1,1,5,Promising
CUST_000416,38,8,2721.51,3,2,1,6,Promising
CUST_000417,1,19,21876.95,5,5,5,15,Champions
CUST_000418,30,10,9805.74,4,4,4,12,Loyal Customers
CUST_000419,24,8,9832.939999999999,4,2,4,10,Loyal Customers
CUST_000420,10,10,6179.07,5,4,3,12,Loyal Customers
CUST_000421,20,8,7561.4,4,2,3,9,Potential Loyalists
CUST_000422,42,11,7755.1,3,4,4,11,Loyal Customers
CUST_000423,1,7,5055.87,5,2,2,9,Potential Loyalists
CUST_000424,79,5,5276.71,2,1,2,5,Lost
CUST_000425,33,6,1845.3,3,1,1,5,Promising
CUST_000426,9,12,10887.76,5,5,5,15,Champions
CUST_000427,197,7,6944.47,1,2,3,6,Lost
CUST_000428,28,13,12764.37,4,5,5,14,Champions
CUST_000429,92,9,6763.73,2,3,3,8,Cannot Lose Them
CUST_000430,73,8,4206.19,2,2,2,6,Lost
CUST_000431,52,10,11299.77,3,4,5,12,Loyal Customers
CUST_000432,103,8,7332.27,1,2,3,6,Lost
CUST_000433,131,6,4454.31,1,1,2,4,Lost
CUST_000434,7,8,3571.7200000000003,5,2,1,8,Promising
CUST_000435,70,14,10352.24,2,5,5,12,At Risk
CUST_000436,21,6,2136.23,4,1,1,6,Promising
CUST_000437,74,14,19109.46,2,5,5,12,At Risk
CUST_000438,10,8,3507.6099999999997,5,2,1,8,Promising
CUST_000439,93,10,6004.31,2,4,3,9,At Risk
CUST_000440,97,9,12603.37,1,3,5,9,At Risk
CUST_000441,1,9,3781.72,5,3,1,9,Potential Loyalists
CUST_000442,244,2,193.67,1,1,1,3,Lost
CUST_000443,6,9,14155.74,5,3,5,13,Champions
CUST_000444,5,11,12202.630000000001,5,4,5,14,Champions
CUST_000445,96,5,4899.22,1,1,2,4,Lost
CUST_000446,94,7,5751.88,2,2,2,6,Lost
CUST_000447,95,8,8607.779999999999,1,2,4,7,Cannot Lose Them
CUST_000448,120,8,4269.15,1,2,2,5,Lost
CUST_000449,48,7,3930.7299999999996,3,2,1,6,Promising
CUST_000450,87,10,6428.59,2,4,3,9,At Risk
CUST_000451,35,5,4971.75,3,1,2,6,Promising
CUST_000452,35,5,5358.21,3,1,2,6,Promising
CUST_000453,8,12,8193.19,5,5,4,14,Champions
CUST_000454,8,9,7714.39,5,3,4,12,Loyal Customers
CUST_000455,1,13,11576.77,5,5,5,15,Champions
CUST_000456,12,12,15166.22,5,5,5,15,Champions
CUST_000457,3,9,6405.03,5,3,3,11,Loyal Customers
CUST_000458,15,9,5144.64,4,3,2,9,Potential Loyalists
CUST_000459,17,8,6859.01,4,2,3,9,Potential Loyalists
