product_id,product_category_name,product_weight_g,product_length_cm,product_width_cm,product_height_cm
PROD_00095,clothing_accessories,3288,21,21,44
PROD_00096,home_decor,4619,66,58,19
PROD_00097,stationery,2302,73,14,28
PROD_00098,clothing_accessories,3434,40,29,49
PROD_00099,garden_tools,2298,13,22,6
PROD_00100,beauty_perfumery,311,63,53,8
PROD_00101,electronics,1315,74,48,23
PROD_00102,sports_leisure,980,15,19,35
PROD_00103,baby_products,854,74,31,44
PROD_00104,home_decor,800,31,23,14
PROD_00105,automotive,2319,26,58,33
PROD_00106,clothing_accessories,470,68,19,25
PROD_00107,beauty_perfumery,1832,38,49,17
PROD_00108,health_wellness,901,76,11,15
PROD_00109,garden_tools,1089,26,47,40
PROD_00110,sports_leisure,4871,11,44,8
PROD_00111,furniture,515,41,56,45
PROD_00112,electronics,3065,31,20,13
PROD_00113,clothing_accessories,3437,67,28,21
PROD_00114,clothing_accessories,3712,62,27,34
PROD_00115,electronics,1720,56,15,7
PROD_00116,clothing_accessories,1635,13,28,41
PROD_00117,home_decor,4444,47,9,28
PROD_00118,stationery,2892,22,43,14
PROD_00119,books,672,70,52,6
PROD_00120,sports_leisure,4993,73,34,25
PROD_00121,pet_supplies,4956,42,20,11
PROD_00122,electronics,3755,47,24,47
PROD_00123,sports_leisure,392,38,33,33
PROD_00124,furniture,4393,70,21,10
PROD_00125,electronics,179,41,23,36
PROD_00126,books,4332,20,30,45
PROD_00127,electronics,4408,27,19,13
PROD_00128,electronics,1962,54,29,12
PROD_00129,electronics,718,30,19,37
PROD_00130,garden_tools,1059,21,24,9
PROD_00131,books,3378,29,34,11
PROD_00132,furniture,3835,16,25,15
PROD_00133,beauty_perfumery,2313,11,51,31
PROD_00134,clothing_accessories,3674,52,39,2
PROD_00135,furniture,4096,30,48,13
PROD_00136,home_decor,2577,38,10,6
PROD_00137,electronics,3351,41,56,15
PROD_00138,books,2268,54,41,37
PROD_00139,electronics,3345,68,15,18
PROD_00140,clothing_accessories,2478,12,27,23
PROD_00141,kitchen_utilities,1822,48,48,32
PROD_00142,books,1261,60,43,27
PROD_00143,furniture,1989,17,13,14
PROD_00144,home_decor,2140,55,22,4
PROD_00145,home_decor,4071,75,50,44
PROD_00146,books,3501,15,40,12
PROD_00147,toys_games,3409,67,44,6
PROD_00148,beauty_perfumery,1199,50,52,39
PROD_00149,stationery,4118,63,40,5
PROD_00150,baby_products,1788,50,32,33
PROD_00151,home_decor,4232,57,23,11
PROD_00152,health_wellness,944,79,34,11
PROD_00153,beauty_perfumery,1743,36,42,45
PROD_00154,beauty_perfumery,2433,56,55,19
PROD_00155,electronics,1363,32,19,48
PROD_00156,beauty_perfumery,3034,23,48,24
PROD_00157,garden_tools,3785,70,16,19
PROD_00158,kitchen_utilities,315,76,6,36
PROD_00159,kitchen_utilities,4876,34,13,4
PROD_00160,electronics,3757,74,39,2
PROD_00161,home_decor,2440,33,5,18
PROD_00162,clothing_accessories,1607,62,50,43
PROD_00163,clothing_accessories,2190,59,35,7
PROD_00164,beauty_perfumery,3478,10,32,12
PROD_00165,home_decor,1216,48,49,15
PROD_00166,beauty_perfumery,2840,53,41,29
PROD_00167,sports_leisure,2261,14,11,40
PROD_00168,clothing_accessories,3356,77,50,37
PROD_00169,electronics,3068,74,20,12
PROD_00170,automotive,1248,24,54,42
PROD_00171,electronics,3276,59,18,41
PROD_00172,electronics,4353,15,37,5
PROD_00173,health_wellness,3445,75,10,49
PROD_00174,pet_supplies,4061,78,25,7
PROD_00175,toys_games,1240,48,14,39
PROD_00176,electronics,3033,38,36,20
PROD_00177,clothing_accessories,2207,55,10,32
PROD_00178,stationery,2548,40,6,3
PROD_00179,kitchen_utilities,927,33,43,44
PROD_00180,beauty_perfumery,1303,24,53,26
PROD_00181,clothing_accessories,3403,29,31,42
PROD_00182,electronics,944,13,18,49
PROD_00183,electronics,3071,67,27,12
PROD_00184,furniture,1368,70,43,47
PROD_00185,electronics,4833,19,58,41
PROD_00186,pet_supplies,4844,50,25,46
PROD_00187,clothing_accessories,1729,62,45,43
PROD_00188,books,3630,57,55,45
PROD_00189,electronics,903,24,34,22
PROD_00190,beauty_perfumery,227,16,29,4
PROD_00191,electronics,1051,52,57,3
PROD_00192,toys_games,2364,13,28,12
PROD_00193,beauty_perfumery,119,60,15,25
PROD_00194,electronics,3738,68,39,25
PROD_00195,health_wellness,1881,50,59,22
PROD_00196,beauty_perfumery,3934,70,8,26
PROD_00197,garden_tools,3231,39,41,5
PROD_00198,garden_tools,4870,27,40,41
PROD_00199,garden_tools,4934,39,17,44
PROD_00200,electronics,656,16,13,48
PROD_00201,electronics,2344,61,32,24
PROD_00202,pet_supplies,3083,57,59,25
PROD_00203,sports_leisure,3663,32,50,22
PROD_00204,clothing_accessories,2825,46,20,3
PROD_00205,toys_games,4699,62,58,24
PROD_00206,clothing_accessories,4933,54,10,16
PROD_00207,toys_games,4987,58,31,27
PROD_00208,health_wellness,3431,58,14,27
PROD_00209,kitchen_utilities,296,56,27,29
PROD_00210,clothing_accessories,2928,34,25,27
PROD_00211,home_decor,4939,36,30,46
PROD_00212,home_decor,4088,21,49,3
PROD_00213,sports_leisure,2569,32,7,36
PROD_00214,electronics,1730,26,47,33
PROD_00215,sports_leisure,3378,53,39,31
PROD_00216,beauty_perfumery,2138,33,11,47
PROD_00217,beauty_perfumery,2579,69,31,21
PROD_00218,kitchen_utilities,4430,62,46,14
PROD_00219,beauty_perfumery,4674,25,37,28
PROD_00220,clothing_accessories,2575,34,8,24
PROD_00221,books,4861,75,30,17
PROD_00222,kitchen_utilities,3409,59,12,32
PROD_00223,clothing_accessories,3278,78,24,13
PROD_00224,furniture,1487,49,21,34
PROD_00225,electronics,741,15,9,39
PROD_00226,home_decor,674,73,53,46
PROD_00227,garden_tools,3244,37,13,33
PROD_00228,garden_tools,1821,18,12,3
PROD_00229,beauty_perfumery,1118,15,11,24
PROD_00230,books,4158,26,41,33
PROD_00231,health_wellness,3520,49,40,16
PROD_00232,baby_products,499,54,59,41
PROD_00233,sports_leisure,4790,52,7,42
PROD_00234,beauty_perfumery,1556,55,12,41
PROD_00235,home_decor,1695,72,9,9
PROD_00236,electronics,216,10,9,44
PROD_00237,sports_leisure,482,68,21,23
PROD_00238,kitchen_utilities,2229,72,51,39
PROD_00239,kitchen_utilities,1950,27,31,35
PROD_00240,automotive,931,74,44,2
PROD_00241,electronics,2800,29,43,11
PROD_00242,beauty_perfumery,2881,65,53,41
PROD_00243,electronics,3581,63,16,17
PROD_00244,clothing_accessories,2217,57,32,25
PROD_00245,garden_tools,4582,63,8,47
PROD_00246,sports_leisure,2106,25,56,25
PROD_00247,toys_games,2671,29,32,49
PROD_00248,electronics,396,56,29,15
PROD_00249,home_decor,818,16,54,27
PROD_00250,books,3236,32,40,40
PROD_00251,electronics,3179,42,46,19
PROD_00252,home_decor,110,49,7,21
PROD_00253,electronics,4980,14,35,42
PROD_00254,furniture,510,54,41,37
PROD_00255,stationery,3039,50,16,25
PROD_00256,health_wellness,2754,17,59,27
PROD_00257,stationery,3286,59,41,30
PROD_00258,health_wellness,3550,40,41,49
PROD_00259,health_wellness,698,13,8,23
PROD_00260,beauty_perfumery,923,75,34,12
PROD_00261,beauty_perfumery,2497,65,42,42
PROD_00262,home_decor,4214,14,46,12
PROD_00263,kitchen_utilities,412,63,42,4
PROD_00264,clothing_accessories,3074,10,31,22
PROD_00265,electronics,3838,70,58,12
PROD_00266,baby_products,2592,16,26,9
PROD_00267,electronics,2045,39,5,32
PROD_00268,stationery,330,24,52,11
PROD_00269,toys_games,3840,13,47,7
PROD_00270,home_decor,2772,72,42,18
PROD_00271,books,3554,79,24,39
PROD_00272,kitchen_utilities,3683,47,22,8
PROD_00273,clothing_accessories,143,56,10,33
PROD_00274,kitchen_utilities,3024,69,53,14
PROD_00275,kitchen_utilities,3793,11,16,7
PROD_00276,clothing_accessories,2370,78,21,4
PROD_00277,electronics,3557,17,57,28
PROD_00278,clothing_accessories,3049,60,26,46
PROD_00279,clothing_accessories,2418,28,22,43
PROD_00280,electronics,3485,40,14,27
PROD_00281,toys_games,2394,31,28,5
PROD_00282,home_decor,3095,42,24,38
PROD_00283,automotive,3738,46,16,22
PROD_00284,clothing_accessories,3467,21,8,29
PROD_00285,sports_leisure,3384,78,46,19
PROD_00286,furniture,2442,73,9,33
PROD_00287,automotive,270,34,30,40
PROD_00288,beauty_perfumery,4441,63,40,34
PROD_00289,home_decor,1739,38,20,27
PROD_00290,automotive,716,22,9,18
PROD_00291,clothing_accessories,339,35,30,30
PROD_00292,electronics,4593,31,23,21
PROD_00293,sports_leisure,1956,19,10,31
PROD_00294,kitchen_utilities,1022,57,28,6
PROD_00295,electronics,4987,51,35,7
PROD_00296,beauty_perfumery,2004,68,35,43
PROD_00297,furniture,3249,62,57,11
PROD_00298,garden_tools,912,49,11,7
PROD_00299,clothing_accessories,1830,71,14,11
PROD_00300,clothing_accessories,931,15,43,43
PROD_00301,sports_leisure,3524,13,26,22
PROD_00302,home_decor,2307,64,18,45
PROD_00303,toys_games,4939,78,32,5
PROD_00304,furniture,3532,12,46,14
PROD_00305,toys_games,3468,16,56,11
PROD_00306,health_wellness,2327,21,26,17
PROD_00307,garden_tools,2360,26,36,20
PROD_00308,sports_leisure,4725,76,15,7
PROD_00309,pet_supplies,3017,79,18,27
PROD_00310,clothing_accessories,3620,45,35,10
PROD_00311,books,4480,26,48,47
PROD_00312,beauty_perfumery,2808,10,8,11
PROD_00313,kitchen_utilities,1920,76,49,41
PROD_00314,sports_leisure,748,58,26,4
PROD_00315,kitchen_utilities,288,60,58,20
PROD_00316,baby_products,1322,52,33,36
PROD_00317,toys_games,578,40,39,47
PROD_00318,kitchen_utilities,3162,33,17,7
PROD_00319,electronics,2125,46,24,30
PROD_00320,clothing_accessories,4712,74,23,20
PROD_00321,stationery,1988,72,19,45
PROD_00322,books,1650,65,55,16
PROD_00323,beauty_perfumery,3016,27,30,39
PROD_00324,home_decor,3355,74,24,22
PROD_00325,electronics,2906,38,40,45
PROD_00326,home_decor,133,13,10,40
PROD_00327,sports_leisure,395,21,19,24
PROD_00328,clothing_accessories,2600,65,8,21
PROD_00329,electronics,3879,57,10,43
PROD_00330,sports_leisure,3676,28,6,3
PROD_00331,beauty_perfumery,1529,35,40,46
PROD_00332,clothing_accessories,2289,47,54,33
PROD_00333,beauty_perfumery,2087,34,19,48
PROD_00334,garden_tools,4843,65,16,29
PROD_00335,sports_leisure,2982,37,44,5
PROD_00336,health_wellness,1809,70,48,8
PROD_00337,garden_tools,2877,60,45,4
PROD_00338,electronics,3797,21,11,26
PROD_00339,electronics,1647,17,26,49
PROD_00340,sports_leisure,562,67,12,10
PROD_00341,beauty_perfumery,3415,32,56,24
PROD_00342,sports_leisure,3404,46,46,24
PROD_00343,home_decor,613,20,15,27
PROD_00344,furniture,4196,26,6,41
PROD_00345,electronics,3666,65,34,19
PROD_00346,stationery,3903,62,8,25
PROD_00347,clothing_accessories,3787,76,57,28
PROD_00348,garden_tools,4038,11,29,46
PROD_00349,electronics,3589,38,25,3
PROD_00350,clothing_accessories,1571,66,29,2
PROD_00351,clothing_accessories,437,43,13,49
PROD_00352,pet_supplies,3181,11,12,17
PROD_00353,electronics,3512,40,9,44
PROD_00354,furniture,2492,53,50,25
PROD_00355,automotive,1076,65,32,37
PROD_00356,books,2345,63,6,12
PROD_00357,home_decor,4168,62,25,27
PROD_00358,baby_products,1803,55,53,7
PROD_00359,automotive,971,63,12,27
PROD_00360,sports_leisure,3509,40,38,30
PROD_00361,beauty_perfumery,2689,33,27,44
PROD_00362,stationery,4652,34,19,2
PROD_00363,pet_supplies,1649,44,31,10
PROD_00364,sports_leisure,3607,66,6,28
PROD_00365,health_wellness,4561,78,32,8
PROD_00366,clothing_accessories,2721,37,15,4
PROD_00367,home_decor,2629,42,50,10
PROD_00368,electronics,2257,62,25,3
PROD_00369,clothing_accessories,2456,25,46,11
PROD_00370,furniture,259,35,36,18
PROD_00371,beauty_perfumery,2202,21,36,32
PROD_00372,clothing_accessories,2908,40,11,2
PROD_00373,home_decor,2099,36,26,19
PROD_00374,home_decor,2681,45,18,7
PROD_00375,pet_supplies,3093,68,17,39
PROD_00376,health_wellness,3034,12,25,42
PROD_00377,home_decor,2411,41,26,43
PROD_00378,garden_tools,2895,24,38,48
PROD_00379,home_decor,4428,75,14,5
PROD_00380,books,4428,72,5,41
PROD_00381,stationery,3688,10,5,5
PROD_00382,home_decor,3216,14,28,36
PROD_00383,books,4753,15,7,5
PROD_00384,clothing_accessories,3847,14,35,2
PROD_00385,clothing_accessories,2049,37,47,42
PROD_00386,beauty_perfumery,1559,78,55,44
PROD_00387,stationery,4530,53,45,32
PROD_00388,sports_leisure,2551,25,17,20
PROD_00389,baby_products,4451,31,58,22
PROD_00390,garden_tools,3167,32,8,31
PROD_00391,clothing_accessories,4190,52,56,8
PROD_00392,home_decor,3088,77,27,6
PROD_00393,furniture,871,52,10,3
PROD_00394,beauty_perfumery,1211,35,38,4
PROD_00395,electronics,3411,50,45,16
PROD_00396,pet_supplies,4506,79,22,40
PROD_00397,toys_games,1694,40,40,38
PROD_00398,sports_leisure,2829,26,30,11
PROD_00399,furniture,1381,18,37,10
PROD_00400,electronics,3685,64,37,24
PROD_00401,sports_leisure,2928,15,29,15
PROD_00402,baby_products,2473,79,56,46
PROD_00403,automotive,4985,73,21,34
PROD_00404,home_decor,441,13,55,17
PROD_00405,beauty_perfumery,4823,76,7,21
PROD_00406,books,2918,65,59,9
PROD_00407,home_decor,3025,27,26,39
PROD_00408,electronics,1372,41,59,35
PROD_00409,sports_leisure,809,57,53,32
PROD_00410,furniture,838,38,39,46
PROD_00411,electronics,1878,41,8,9
PROD_00412,electronics,4690,34,32,26
PROD_00413,clothing_accessories,4230,72,17,42
PROD_00414,home_decor,3818,18,34,14
PROD_00415,beauty_perfumery,109,23,51,19
PROD_00416,clothing_accessories,1837,29,16,42
PROD_00417,clothing_accessories,2678,19,7,35
PROD_00418,automotive,1658,20,25,37
PROD_00419,electronics,2242,48,44,18
PROD_00420,sports_leisure,2723,28,5,13
PROD_00421,baby_products,4100,28,22,17
PROD_00422,furniture,4645,52,17,14
PROD_00423,books,2243,70,11,12
PROD_00424,sports_leisure,964,79,17,15
PROD_00425,electronics,1900,74,21,43
PROD_00426,furniture,3552,32,49,29
PROD_00427,furniture,2816,69,36,25
PROD_00428,electronics,4402,19,33,18
PROD_00429,sports_leisure,1909,72,49,10
PROD_00430,garden_tools,4441,11,34,47
PROD_00431,clothing_accessories,2097,45,15,31
PROD_00432,sports_leisure,3031,66,18,38
PROD_00433,sports_leisure,2230,75,57,4
PROD_00434,kitchen_utilities,4512,29,14,9
PROD_00435,health_wellness,2792,51,12,19
PROD_00436,toys_games,3276,30,35,31
PROD_00437,home_decor,2896,75,10,4
PROD_00438,electronics,4795,47,23,35
PROD_00439,home_decor,1655,78,59,44
PROD_00440,books,3790,33,23,29
PROD_00441,books,3672,35,16,38
PROD_00442,stationery,4543,11,57,26
PROD_00443,sports_leisure,430,55,43,31
PROD_00444,furniture,4805,43,54,8
PROD_00445,beauty_perfumery,2044,71,56,47
PROD_00446,electronics,4939,50,22,30
PROD_00447,sports_leisure,4058,24,59,3
PROD_00448,beauty_perfumery,4764,64,7,27
PROD_00449,baby_products,1784,12,13,42
PROD_00450,home_decor,2536,47,10,43
PROD_00451,pet_supplies,1070,60,5,8
PROD_00452,beauty_perfumery,846,26,46,19
PROD_00453,clothing_accessories,2284,58,44,7
PROD_00454,clothing_accessories,1484,30,33,42
PROD_00455,electronics,4130,33,59,41
PROD_00456,sports_leisure,1118,49,53,28
PROD_00457,electronics,2678,29,39,42
PROD_00458,sports_leisure,4211,44,39,25
PROD_00459,pet_supplies,4763,57,34,34
PROD_00460,books,4040,42,39,32
PROD_00461,toys_games,2124,65,43,35
PROD_00462,electronics,1642,50,26,23
PROD_00463,sports_leisure,2811,63,47,25
PROD_00464,clothing_accessories,3146,53,32,37
PROD_00465,automotive,1554,20,22,29
PROD_00466,clothing_accessories,3103,23,36,21
PROD_00467,sports_leisure,1802,51,9,19
PROD_00468,beauty_perfumery,4520,21,58,43
PROD_00469,beauty_perfumery,3973,26,38,33
PROD_00470,health_wellness,221,34,35,34
PROD_00471,clothing_accessories,1576,35,50,11
PROD_00472,home_decor,365,56,37,10
PROD_00473,kitchen_utilities,127,34,8,26
PROD_00474,beauty_perfumery,2224,69,18,14
PROD_00475,home_decor,531,69,19,48
PROD_00476,electronics,3877,36,24,46
PROD_00477,toys_games,4631,52,24,6
PROD_00478,stationery,1185,29,53,32
PROD_00479,furniture,2194,72,39,32
PROD_00480,health_wellness,2585,34,59,35
PROD_00481,beauty_perfumery,200,36,8,27
PROD_00482,clothing_accessories,2254,61,22,8
PROD_00483,electronics,3148,19,28,42
PROD_00484,furniture,899,59,31,47
PROD_00485,sports_leisure,3922,39,37,21
PROD_00486,kitchen_utilities,1395,10,29,44
PROD_00487,books,534,63,9,23
PROD_00488,pet_supplies,3904,13,22,6
PROD_00489,beauty_perfumery,2713,16,49,13
PROD_00490,sports_leisure,1015,39,50,22
PROD_00491,clothing_accessories,2375,74,24,10
PROD_00492,sports_leisure,4740,38,39,30
PROD_00493,automotive,747,34,59,28
PROD_00494,electronics,2395,49,10,18
PROD_00495,stationery,4178,35,31,41
PROD_00496,pet_supplies,1531,26,32,25
PROD_00497,furniture,2461,40,15,28
PROD_00498,home_decor,4232,70,13,9
PROD_00499,clothing_accessories,823,17,56,45
PROD_00500,clothing_accessories,1647,78,32,30
PROD_00501,electronics,1079,10,23,20
PROD_00502,sports_leisure,183,55,43,11
PROD_00503,electronics,3586,29,58,25
PROD_00504,books,1465,49,25,35
PROD_00505,home_decor,4914,11,35,41
PROD_00506,clothing_accessories,649,70,46,32
PROD_00507,beauty_perfumery,3592,39,11,47
PROD_00508,stationery,2862,39,41,5
PROD_00509,books,3953,54,29,42
PROD_00510,sports_leisure,4782,33,32,46
PROD_00511,kitchen_utilities,3299,65,40,32
PROD_00512,toys_games,251,70,21,10
PROD_00513,automotive,3598,22,30,27
PROD_00514,clothing_accessories,2312,65,32,14
PROD_00515,health_wellness,3085,24,41,49
PROD_00516,clothing_accessories,4194,20,21,27
PROD_00517,baby_products,1667,21,53,2
PROD_00518,clothing_accessories,311,12,21,41
PROD_00519,garden_tools,4937,33,37,10
PROD_00520,stationery,2279,18,38,32
PROD_00521,electronics,3323,55,27,25
PROD_00522,stationery,4291,69,34,46
PROD_00523,electronics,1626,20,31,23
PROD_00524,clothing_accessories,621,19,55,10
PROD_00525,sports_leisure,4046,12,13,40
PROD_00526,pet_supplies,1802,28,24,24
PROD_00527,sports_leisure,117,11,27,21
PROD_00528,beauty_perfumery,3580,26,51,43
PROD_00529,books,1819,11,23,22
PROD_00530,stationery,3416,62,41,28
PROD_00531,kitchen_utilities,4114,25,49,6
PROD_00532,clothing_accessories,978,19,8,18
PROD_00533,clothing_accessories,693,77,17,35
PROD_00534,electronics,4838,52,42,10
PROD_00535,furniture,4996,67,16,35
PROD_00536,clothing_accessories,4650,69,13,11
PROD_00537,clothing_accessories,1709,33,19,45
PROD_00538,automotive,975,25,25,3
PROD_00539,home_decor,3331,18,19,48
PROD_00540,beauty_perfumery,2548,15,53,26
PROD_00541,home_decor,4657,74,9,4
PROD_00542,electronics,2236,33,9,35
PROD_00543,home_decor,2153,19,29,8
PROD_00544,home_decor,183,36,28,29
PROD_00545,automotive,1539,12,41,10
PROD_00546,home_decor,2768,47,57,12
PROD_00547,home_decor,2319,26,35,30
PROD_00548,kitchen_utilities,798,57,50,17
PROD_00549,toys_games,1920,58,38,40
PROD_00550,kitchen_utilities,4725,52,45,30
PROD_00551,baby_products,4514,16,18,14
PROD_00552,kitchen_utilities,1198,77,31,36
PROD_00553,home_decor,2994,30,51,12
PROD_00554,health_wellness,3517,34,8,36
PROD_00555,sports_leisure,348,70,27,48
PROD_00556,clothing_accessories,4582,37,42,9
PROD_00557,clothing_accessories,2057,61,50,8
PROD_00558,clothing_accessories,1990,22,9,6
PROD_00559,electronics,4558,43,31,7
PROD_00560,clothing_accessories,3467,76,47,36
PROD_00561,electronics,2215,13,57,31
PROD_00562,automotive,3163,53,18,12
PROD_00563,baby_products,1906,24,11,39
PROD_00564,beauty_perfumery,395,17,50,28
PROD_00565,health_wellness,2794,14,49,22
PROD_00566,clothing_accessories,2091,75,22,15
PROD_00567,garden_tools,4039,55,36,36
PROD_00568,sports_leisure,131,74,6,30
PROD_00569,electronics,4750,75,45,25
PROD_00570,electronics,3975,35,47,37
PROD_00571,clothing_accessories,4500,40,24,42
PROD_00572,electronics,892,60,33,46
PROD_00573,clothing_accessories,4291,50,47,33
PROD_00574,electronics,1189,60,30,7
PROD_00575,clothing_accessories,329,28,42,11
PROD_00576,clothing_accessories,2880,12,5,21
PROD_00577,pet_supplies,4553,47,9,21
PROD_00578,clothing_accessories,4597,79,58,27
PROD_00579,clothing_accessories,889,54,18,22
PROD_00580,books,4294,50,29,46
PROD_00581,health_wellness,4466,34,52,24
PROD_00582,home_decor,1898,59,13,47
PROD_00583,automotive,4080,10,34,13
PROD_00584,home_decor,4557,63,23,14
PROD_00585,clothing_accessories,3340,22,56,11
PROD_00586,home_decor,4735,49,44,8
PROD_00587,furniture,3956,30,12,38
PROD_00588,home_decor,413,50,20,13
PROD_00589,books,332,70,54,26
PROD_00590,clothing_accessories,3607,42,12,3
PROD_00591,books,1129,38,27,41
PROD_00592,home_decor,3706,64,13,27
PROD_00593,sports_leisure,2811,41,36,41
PROD_00594,beauty_perfumery,4439,20,41,6
PROD_00595,books,2388,61,38,9
PROD_00596,clothing_accessories,4099,45,57,43
PROD_00597,health_wellness,2705,40,50,46
PROD_00598,toys_games,3444,23,22,10
PROD_00599,clothing_accessories,2222,72,49,40
PROD_00600,stationery,2430,61,48,21
PROD_00601,books,3879,63,19,12
PROD_00602,sports_leisure,4282,59,57,41
PROD_00603,electronics,980,63,19,23
PROD_00604,beauty_perfumery,3077,44,33,17
PROD_00605,electronics,1272,39,27,43
PROD_00606,sports_leisure,259,64,27,39
PROD_00607,home_decor,2593,10,5,43
PROD_00608,books,2229,24,26,11
PROD_00609,clothing_accessories,3178,34,11,26
PROD_00610,health_wellness,2329,29,49,20
PROD_00611,home_decor,3017,25,36,5
PROD_00612,sports_leisure,3113,61,32,20
PROD_00613,kitchen_utilities,1649,74,54,4
PROD_00614,furniture,4673,79,36,18
PROD_00615,clothing_accessories,3485,10,37,15
PROD_00616,home_decor,1679,25,47,11
PROD_00617,clothing_accessories,3471,36,17,7
PROD_00618,furniture,2060,27,56,32
PROD_00619,home_decor,3944,53,32,32
PROD_00620,toys_games,4797,59,13,49
PROD_00621,beauty_perfumery,2490,23,52,10
PROD_00622,electronics,1519,61,47,13
PROD_00623,clothing_accessories,4017,59,7,45
PROD_00624,clothing_accessories,3935,26,21,47
PROD_00625,home_decor,4528,12,38,27
PROD_00626,beauty_perfumery,4550,71,36,3
PROD_00627,sports_leisure,3730,30,13,43
PROD_00628,toys_games,262,42,45,5
PROD_00629,clothing_accessories,215,10,52,33
PROD_00630,baby_products,1570,79,5,29
PROD_00631,home_decor,3179,65,53,7
PROD_00632,clothing_accessories,3952,13,46,31
PROD_00633,books,2938,31,24,29
PROD_00634,kitchen_utilities,642,67,9,14
PROD_00635,home_decor,513,53,44,47
PROD_00636,toys_games,781,66,49,37
PROD_00637,automotive,741,49,25,11
PROD_00638,toys_games,4078,65,9,11
PROD_00639,electronics,1532,72,8,6
PROD_00640,health_wellness,768,48,12,30
